waveform,modulation,receiver_mode,stress_profile,robust_usable_threshold_snr_db,usable_snr_points,total_snr_points,average_ber_all_snr,average_accuracy_all_snr,average_success_rate_all_snr,average_sync_ber_all_snr,average_preamble_match_rate_all_snr,average_pilot_match_rate_all_snr,average_abs_frequency_correction_error_ppm,worst_ber,best_ber
triangle,psk,pilot_tracking,baseline_awgn,-4.0,4,4,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
triangle,psk,pilot_tracking,combined_drift_timing,not_reached,0,4,0.060546875,0.939453125,0.125,0.0,1.0,1.0,312.5,0.08203125,0.046875
triangle,psk,pilot_tracking,moderate_negative_drift,-4.0,4,4,0.001953125,0.998046875,1.0,0.0,1.0,1.0,150.0,0.0078125,0.0
triangle,psk,pilot_tracking,moderate_positive_drift,0.0,3,4,0.0048828125,0.9951171875,0.75,0.0,1.0,1.0,150.0,0.01953125,0.0
triangle,psk,pilot_tracking,severe_positive_drift,-4.0,4,4,0.001953125,0.998046875,1.0,0.0,1.0,1.0,150.0,0.0078125,0.0
triangle,psk,preamble_only,baseline_awgn,-4.0,4,4,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
triangle,psk,preamble_only,combined_drift_timing,not_reached,0,4,0.2802734375,0.7197265625,0.0,0.17812499999999998,1.0,0.6666666666666666,450.0,0.2890625,0.265625
triangle,psk,preamble_only,moderate_negative_drift,not_reached,0,4,0.65234375,0.34765625,0.0,0.4,1.0,0.3333333333333333,450.0,0.65625,0.6484375
triangle,psk,preamble_only,moderate_positive_drift,not_reached,0,4,0.63671875,0.36328125,0.0,0.4,1.0,0.3333333333333333,450.0,0.64453125,0.625
triangle,psk,preamble_only,severe_positive_drift,not_reached,0,4,0.533203125,0.466796875,0.0,0.415625,1.0,0.20833333333333331,750.0,0.5390625,0.52734375
