variant_id,preamble_length_bits,pilot_length_bits,payload_chunk_bits,waveform,modulation,stress_profile,robust_usable_threshold_snr_db,usable_snr_points,total_snr_points,average_ber_all_snr,average_accuracy_all_snr,average_success_rate_all_snr,average_pilot_match_rate_all_snr,average_abs_frequency_error_ppm,mean_overhead_ratio,mean_sync_bits,mean_frame_bit_count
3,8,4,128,square,psk,combined_drift_timing,not_reached,0,3,0.3385416666666667,0.6614583333333334,0.0,1.0,450.0,0.0588235294117647,8.0,136.0
3,8,4,128,square,psk,moderate_negative_drift,not_reached,0,3,0.4947916666666667,0.5052083333333334,0.0,1.0,450.0,0.0588235294117647,8.0,136.0
3,8,4,128,square,psk,moderate_positive_drift,not_reached,0,3,0.5182291666666666,0.4817708333333333,0.0,1.0,450.0,0.0588235294117647,8.0,136.0
3,8,4,128,square,psk,severe_positive_drift,not_reached,0,3,0.671875,0.328125,0.0,1.0,750.0,0.0588235294117647,8.0,136.0
4,8,8,32,chirp,psk,baseline_awgn,-4.0,3,3,0.0,1.0,1.0,1.0,0.0,0.20000000000000004,32.0,160.0
4,8,8,32,chirp,psk,combined_drift_timing,4.0,2,3,0.005208333333333333,0.9947916666666666,0.6666666666666666,1.0,50.0,0.20000000000000004,32.0,160.0
4,8,8,32,chirp,psk,moderate_negative_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.20000000000000004,32.0,160.0
4,8,8,32,chirp,psk,moderate_positive_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.20000000000000004,32.0,160.0
4,8,8,32,chirp,psk,severe_positive_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.20000000000000004,32.0,160.0
4,8,8,32,sine,psk,baseline_awgn,-4.0,3,3,0.0,1.0,1.0,1.0,0.0,0.20000000000000004,32.0,160.0
4,8,8,32,sine,psk,combined_drift_timing,4.0,2,3,0.0078125,0.9921875,0.6666666666666666,1.0,150.0,0.20000000000000004,32.0,160.0
4,8,8,32,sine,psk,moderate_negative_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.20000000000000004,32.0,160.0
4,8,8,32,sine,psk,moderate_positive_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.20000000000000004,32.0,160.0
4,8,8,32,sine,psk,severe_positive_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.20000000000000004,32.0,160.0
4,8,8,32,square,psk,baseline_awgn,-4.0,3,3,0.0,1.0,1.0,1.0,0.0,0.20000000000000004,32.0,160.0
4,8,8,32,square,psk,combined_drift_timing,8.0,1,3,0.026041666666666668,0.9739583333333334,0.3333333333333333,1.0,150.0,0.20000000000000004,32.0,160.0
4,8,8,32,square,psk,moderate_negative_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.20000000000000004,32.0,160.0
4,8,8,32,square,psk,moderate_positive_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.20000000000000004,32.0,160.0
4,8,8,32,square,psk,severe_positive_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.20000000000000004,32.0,160.0
5,8,8,64,chirp,psk,baseline_awgn,-4.0,3,3,0.0,1.0,1.0,1.0,0.0,0.1111111111111111,16.0,144.0
5,8,8,64,chirp,psk,combined_drift_timing,not_reached,0,3,0.2109375,0.7890625,0.0,1.0,316.6666666666667,0.1111111111111111,16.0,144.0
5,8,8,64,chirp,psk,moderate_negative_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.1111111111111111,16.0,144.0
5,8,8,64,chirp,psk,moderate_positive_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.1111111111111111,16.0,144.0
5,8,8,64,chirp,psk,severe_positive_drift,not_reached,0,3,0.5677083333333334,0.4322916666666667,0.0,1.0,1150.0,0.1111111111111111,16.0,144.0
5,8,8,64,sine,psk,baseline_awgn,-4.0,3,3,0.0,1.0,1.0,1.0,0.0,0.1111111111111111,16.0,144.0
5,8,8,64,sine,psk,combined_drift_timing,not_reached,0,3,0.12760416666666666,0.8723958333333334,0.0,1.0,450.0,0.1111111111111111,16.0,144.0
5,8,8,64,sine,psk,moderate_negative_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.1111111111111111,16.0,144.0
5,8,8,64,sine,psk,moderate_positive_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.1111111111111111,16.0,144.0
5,8,8,64,sine,psk,severe_positive_drift,not_reached,0,3,0.4921875,0.5078125,0.0,1.0,750.0,0.1111111111111111,16.0,144.0
5,8,8,64,square,psk,baseline_awgn,-4.0,3,3,0.0,1.0,1.0,1.0,0.0,0.1111111111111111,16.0,144.0
5,8,8,64,square,psk,combined_drift_timing,not_reached,0,3,0.11979166666666667,0.8802083333333334,0.0,1.0,450.0,0.1111111111111111,16.0,144.0
5,8,8,64,square,psk,moderate_negative_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.1111111111111111,16.0,144.0
5,8,8,64,square,psk,moderate_positive_drift,-4.0,3,3,0.0,1.0,1.0,1.0,50.0,0.1111111111111111,16.0,144.0
5,8,8,64,square,psk,severe_positive_drift,not_reached,0,3,0.5286458333333334,0.4713541666666667,0.0,1.0,1150.0,0.1111111111111111,16.0,144.0
