variant_id,protocol_label,preamble_length_bits,pilot_length_bits,payload_chunk_bits,waveform,modulation,stress_profile,actual_frequency_drift_ppm,actual_timing_offset_samples,snr_db,trials,payload_bit_count,mean_sync_bits,mean_frame_bit_count,mean_pilot_count,mean_overhead_ratio,mean_bit_error_rate,ber_ci95_half_width,ber_ci95_upper,mean_accuracy,accuracy_ci95_lower,success_rate,mean_sync_ber,mean_pilot_ber,mean_pilot_match_rate,mean_abs_frequency_correction_error_ppm,mean_selected_frequency_correction_ppm,mean_selected_offset_samples,sample_payload,sample_decoded_text
1,chirp_psk_p8_pi4_c32,8,4,32,chirp,psk,moderate_negative_drift,-450.0,0,-8.0,8,256,36.0,292.0,7.0,0.1232876712328767,0.00146484375,0.002013992949972532,0.003478836699972532,0.99853515625,0.9965211633000275,1.0,0.003472222222222222,0.0,1.0,50.0,-400.0,-0.25,2N057XD6KET6ZI7 BLMMDPC3DXMRX36Z,2N057XD6KET6ZI7 BLMMDPC3DXMRX36Z
1,chirp_psk_p8_pi4_c32,8,4,32,chirp,psk,moderate_negative_drift,-450.0,0,-4.0,8,256,36.0,292.0,7.0,0.1232876712328767,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,50.0,-400.0,0.0,GBDH02YH9Q4JNAT0G7R_I0G6HSHG5M_M,GBDH02YH9Q4JNAT0G7R_I0G6HSHG5M_M
1,chirp_psk_p8_pi4_c32,8,4,32,chirp,psk,moderate_negative_drift,-450.0,0,0.0,8,256,36.0,292.0,7.0,0.1232876712328767,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,50.0,-400.0,0.0,I0_6T9U9NMNSWIL68UHW94- 08S1A7GB,I0_6T9U9NMNSWIL68UHW94- 08S1A7GB
1,chirp_psk_p8_pi4_c32,8,4,32,chirp,psk,moderate_negative_drift,-450.0,0,4.0,8,256,36.0,292.0,7.0,0.1232876712328767,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,50.0,-400.0,0.0,39ESEQGM-5VWIPGSEMU52VT-J  XU1KA,39ESEQGM-5VWIPGSEMU52VT-J  XU1KA
1,chirp_psk_p8_pi4_c32,8,4,32,chirp,psk,moderate_negative_drift,-450.0,0,8.0,8,256,36.0,292.0,7.0,0.1232876712328767,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,50.0,-400.0,0.0,FS_80QMAA 7H7AYNU0XGJ1-QQ81 XRZN,FS_80QMAA 7H7AYNU0XGJ1-QQ81 XRZN
1,chirp_psk_p8_pi4_c32,8,4,32,chirp,psk,severe_positive_drift,750.0,0,-8.0,8,256,36.0,292.0,7.0,0.1232876712328767,0.0029296875,0.0028019006000670776,0.005731588100067077,0.9970703125,0.9942684118999329,0.875,0.0,0.0,1.0,50.0,800.0,0.0, I OGRP91YMJJ4AL05I78U5TQ9 DZGKD, I OGRP91YMJJ4AL05I78U5TQ9 DZGKD
1,chirp_psk_p8_pi4_c32,8,4,32,chirp,psk,severe_positive_drift,750.0,0,-4.0,8,256,36.0,292.0,7.0,0.1232876712328767,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,50.0,800.0,0.0,7N4YTUKC97HQ4TMXDNHP1UAKR-HZPAC-,7N4YTUKC97HQ4TMXDNHP1UAKR-HZPAC-
1,chirp_psk_p8_pi4_c32,8,4,32,chirp,psk,severe_positive_drift,750.0,0,0.0,8,256,36.0,292.0,7.0,0.1232876712328767,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,50.0,800.0,0.0,W10HO_AYDT7CU8 JU6OJDZ2_ 6FO1SZJ,W10HO_AYDT7CU8 JU6OJDZ2_ 6FO1SZJ
1,chirp_psk_p8_pi4_c32,8,4,32,chirp,psk,severe_positive_drift,750.0,0,4.0,8,256,36.0,292.0,7.0,0.1232876712328767,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,50.0,800.0,0.0,25U3P1ZC_YUZ _87C7G23CP78ZC9Y7DM,25U3P1ZC_YUZ _87C7G23CP78ZC9Y7DM
1,chirp_psk_p8_pi4_c32,8,4,32,chirp,psk,severe_positive_drift,750.0,0,8.0,8,256,36.0,292.0,7.0,0.1232876712328767,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,50.0,800.0,0.0,BVY8K _YL_HTUCR0F5PX2TN7TLHXCMF2,BVY8K _YL_HTUCR0F5PX2TN7TLHXCMF2
1,chirp_psk_p8_pi4_c32,8,4,32,chirp,psk,combined_drift_timing,450.0,5,-8.0,8,256,36.0,292.0,7.0,0.1232876712328767,0.00927734375,0.009481028838523487,0.01875837258852349,0.99072265625,0.9812416274114765,0.75,0.0,0.0,1.0,50.0,400.0,-2.75,8NL4IM9YX0JSIIAEBJ51IFI03_1L3619,8NMdIE9YX0JSIIAEBJ51INI03_1L3619
